subject,verb,object,time,amount,mask
User 67938,returned,phone,2024-01-30,-1390,"[1, 1, 1, 1, 1]"
User 80637,returned,service,2022-10-17,-3723,"[1, 1, 1, 1, 1]"
User 35311,paid,book,[PAD],-1,"[1, 1, 1, 0, 0]"
User 42739,returned,product,2023-06-30,-2553,"[1, 1, 1, 1, 1]"
User 45491,ordered,laptop,2025-11-18,398,"[1, 1, 1, 1, 1]"
User 99266,ordered,service,[PAD],1116,"[1, 1, 1, 0, 1]"
User 74801,sold,laptop,2024-09-17,4783,"[1, 1, 1, 1, 1]"
User 49831,paid,laptop,2025-04-15,822,"[1, 1, 1, 1, 1]"
User 48990,ordered,service,2025-04-07,4785,"[1, 1, 1, 1, 1]"
User 21251,ordered,accessory,2024-03-18,-1,"[1, 1, 1, 1, 0]"
User 97129,bought,product,2025-06-15,1922,"[1, 1, 1, 1, 1]"
User 79889,ordered,laptop,[PAD],4996,"[1, 1, 1, 0, 1]"
User 55205,cancelled,phone,2025-04-24,3505,"[1, 1, 1, 1, 1]"
User 61991,returned,service,[PAD],-1818,"[1, 1, 1, 0, 1]"
User 26514,returned,phone,2023-09-30,-589,"[1, 1, 1, 1, 1]"
User 08159,cancelled,laptop,2022-07-14,3208,"[1, 1, 1, 1, 1]"
User 05737,cancelled,product,2024-06-22,3930,"[1, 1, 1, 1, 1]"
User 61150,paid,laptop,2023-05-22,1967,"[1, 1, 1, 1, 1]"
User 50793,bought,phone,2023-05-19,-1,"[1, 1, 1, 1, 0]"
User 38993,ordered,laptop,2022-12-31,3868,"[1, 1, 1, 1, 1]"
User 55279,paid,service,2025-12-20,1398,"[1, 1, 1, 1, 1]"
User 74653,ordered,laptop,2025-03-16,351,"[1, 1, 1, 1, 1]"
User 26096,ordered,product,2025-02-04,1773,"[1, 1, 1, 1, 1]"
User 16511,ordered,product,2022-10-10,-1,"[1, 1, 1, 1, 0]"
User 57898,ordered,book,2024-04-21,3832,"[1, 1, 1, 1, 1]"
User 29273,returned,phone,2024-01-19,-1,"[1, 1, 1, 1, 0]"
User 36951,ordered,book,2024-05-13,3391,"[1, 1, 1, 1, 1]"
User 73126,ordered,laptop,2022-06-11,3450,"[1, 1, 1, 1, 1]"
User 94275,cancelled,laptop,2025-04-24,-1,"[1, 1, 1, 1, 0]"
User 33666,bought,book,2022-04-12,1094,"[1, 1, 1, 1, 1]"
User 15102,paid,service,2023-12-28,-1,"[1, 1, 1, 1, 0]"
User 52293,bought,phone,2025-10-25,3981,"[1, 1, 1, 1, 1]"
User 26003,ordered,laptop,2022-07-19,4508,"[1, 1, 1, 1, 1]"
User 46908,paid,laptop,2024-01-08,4194,"[1, 1, 1, 1, 1]"
User 21139,returned,accessory,[PAD],-1432,"[1, 1, 1, 0, 1]"
User 12616,returned,service,2025-08-31,-1,"[1, 1, 1, 1, 0]"
User 24610,sold,service,2023-06-17,-1,"[1, 1, 1, 1, 0]"
User 37776,returned,book,2022-07-27,-4279,"[1, 1, 1, 1, 1]"
User 36752,ordered,product,2023-05-03,4315,"[1, 1, 1, 1, 1]"
User 92666,returned,laptop,2024-05-13,-4031,"[1, 1, 1, 1, 1]"
User 91549,paid,book,2025-11-18,4081,"[1, 1, 1, 1, 1]"
User 19369,bought,product,2023-11-08,405,"[1, 1, 1, 1, 1]"
User 78157,ordered,service,2023-06-24,4494,"[1, 1, 1, 1, 1]"
User 57456,returned,phone,2024-12-02,-4287,"[1, 1, 1, 1, 1]"
User 31210,sold,phone,2024-05-25,1339,"[1, 1, 1, 1, 1]"
User 10182,ordered,service,2023-06-11,4613,"[1, 1, 1, 1, 1]"
User 18790,bought,product,2024-12-11,4831,"[1, 1, 1, 1, 1]"
User 39510,bought,book,2025-03-12,3939,"[1, 1, 1, 1, 1]"
User 87597,bought,book,2023-12-28,1747,"[1, 1, 1, 1, 1]"
User 54274,ordered,book,2022-10-20,3441,"[1, 1, 1, 1, 1]"
User 59029,returned,phone,[PAD],-4913,"[1, 1, 1, 0, 1]"
User 72146,sold,product,2025-02-16,649,"[1, 1, 1, 1, 1]"
User 06518,cancelled,phone,2023-07-07,4493,"[1, 1, 1, 1, 1]"
User 43164,bought,service,2023-06-02,837,"[1, 1, 1, 1, 1]"
User 46045,bought,service,2025-05-17,2029,"[1, 1, 1, 1, 1]"
User 26618,paid,accessory,2023-06-23,2944,"[1, 1, 1, 1, 1]"
User 24519,bought,accessory,[PAD],-1,"[1, 1, 1, 0, 0]"
User 80448,sold,accessory,2024-05-12,1931,"[1, 1, 1, 1, 1]"
User 83582,returned,accessory,[PAD],-1,"[1, 1, 1, 0, 0]"
User 72892,paid,laptop,2025-08-01,4103,"[1, 1, 1, 1, 1]"
User 09086,cancelled,service,2023-10-13,1038,"[1, 1, 1, 1, 1]"
User 11517,cancelled,service,2025-09-03,1328,"[1, 1, 1, 1, 1]"
